Date,1211.SR,2010.SR,7010.SR,ETEL.CA,IGIC,KFH.KW,NBK.KW,QAT,SWDY.CA,UAE
2019-03-20,18.200000762939453,124.80000305175781,42.400001525878906,14.25,10.0600004196167,346.010986328125,682.2540283203125,18.139999389648438,16.469999313354492,14.609999656677246
2019-03-21,18.333332061767578,125.0,42.400001525878906,14.380000114440918,10.039999961853027,358.6700134277344,683.6749877929688,18.25,16.450000762939453,14.670000076293945
2019-03-22,18.333332061767578,125.0,42.400001525878906,14.380000114440918,10.0600004196167,358.6700134277344,683.6749877929688,18.18000030517578,16.450000762939453,14.4350004196167
2019-03-24,18.03333282470703,123.5999984741211,42.400001525878906,14.460000038146973,10.0600004196167,361.8340148925781,684.385986328125,18.18000030517578,16.700000762939453,14.4350004196167
2019-03-25,18.233333587646484,123.4000015258789,42.79999923706055,14.279999732971191,10.0600004196167,363.9440002441406,684.385986328125,18.239999771118164,16.209999084472656,14.524999618530273
2019-03-26,18.266666412353516,123.4000015258789,42.63999938964844,14.539999961853027,10.0600004196167,363.9440002441406,667.8619995117188,18.280000686645508,16.049999237060547,14.623000144958496
2019-03-27,18.299999237060547,124.19999694824219,42.79999923706055,14.479999542236328,10.069999694824219,366.0539855957031,678.3090209960938,18.31999969482422,15.609999656677246,14.489999771118164
2019-03-28,18.266666412353516,123.80000305175781,42.880001068115234,14.539999961853027,10.069999694824219,368.16400146484375,671.593017578125,18.290000915527344,15.550000190734863,14.619999885559082
2019-03-29,18.266666412353516,123.80000305175781,42.880001068115234,14.539999961853027,10.079999923706055,368.16400146484375,671.593017578125,18.5,15.550000190734863,14.72700023651123
2019-03-31,18.266666412353516,123.80000305175781,42.880001068115234,14.609999656677246,10.079999923706055,371.3290100097656,668.6079711914062,18.5,15.75,14.72700023651123
2019-04-01,18.366666793823242,125.0,43.439998626708984,15.119999885559082,10.079999923706055,378.1860046386719,671.593017578125,18.51799964904785,16.0,14.812999725341797
2019-04-02,18.399999618530273,126.0,43.84000015258789,14.970000267028809,10.079999923706055,378.8710021972656,679.0560302734375,18.489999771118164,16.360000610351562,14.789999961853027
2019-04-03,18.366666793823242,127.4000015258789,44.31999969482422,14.930000305175781,10.079999923706055,389.8949890136719,678.3090209960938,18.375,16.110000610351562,14.779999732971191
2019-04-04,18.466665267944336,127.19999694824219,44.63999938964844,15.029999732971191,10.079999923706055,389.8949890136719,678.3090209960938,18.459999084472656,16.229999542236328,14.789999961853027
2019-04-05,18.466665267944336,127.19999694824219,44.63999938964844,15.029999732971191,10.079999923706055,389.8949890136719,678.3090209960938,18.579999923706055,16.229999542236328,14.899999618530273
2019-04-07,18.200000762939453,127.0,43.84000015258789,14.890000343322754,10.079999923706055,399.1780090332031,683.5330200195312,18.579999923706055,16.1299991607666,14.899999618530273
2019-04-08,18.466665267944336,127.19999694824219,44.15999984741211,14.739999771118164,10.079999923706055,393.95599365234375,683.5330200195312,18.639999389648438,16.1200008392334,14.899999618530273
